"sigma1","iota1","sigma2","iota2","sigma3","iota3"
0.37,0,0.998012701892219,0.637416697508023,0.131987298107781,0.862583302491977
0.38,0,0.993012701892219,0.646076951545867,0.126987298107781,0.853923048454133
0.39,0,0.988012701892219,0.654737205583712,0.121987298107781,0.845262794416288
0.4,0,0.983012701892219,0.663397459621556,0.116987298107781,0.836602540378444
0.41,0,0.978012701892219,0.672057713659401,0.111987298107781,0.827942286340599
0.42,0,0.973012701892219,0.680717967697245,0.106987298107781,0.819282032302755
0.43,0,0.968012701892219,0.689378221735089,0.101987298107781,0.810621778264911
0.44,0,0.963012701892219,0.698038475772934,0.0969872981077807,0.801961524227066
0.45,0,0.958012701892219,0.706698729810778,0.0919872981077807,0.793301270189222
0.46,0,0.953012701892219,0.715358983848623,0.0869872981077807,0.784641016151377
0.47,0,0.948012701892219,0.724019237886467,0.0819872981077807,0.775980762113533
0.48,0,0.943012701892219,0.732679491924311,0.0769872981077807,0.767320508075689
0.49,0,0.938012701892219,0.741339745962156,0.0719872981077807,0.758660254037844
0.5,0,0.933012701892219,0.75,0.0669872981077807,0.75
0.51,0,0.928012701892219,0.758660254037844,0.0619872981077807,0.741339745962156
0.52,0,0.923012701892219,0.767320508075689,0.0569872981077807,0.732679491924311
0.53,0,0.918012701892219,0.775980762113533,0.0519872981077807,0.724019237886467
0.54,0,0.913012701892219,0.784641016151378,0.0469872981077807,0.715358983848622
0.55,0,0.908012701892219,0.793301270189222,0.0419872981077807,0.706698729810778
0.56,0,0.903012701892219,0.801961524227066,0.0369872981077807,0.698038475772934
0.57,0,0.898012701892219,0.810621778264911,0.0319872981077807,0.689378221735089
0.58,0,0.893012701892219,0.819282032302755,0.0269872981077807,0.680717967697245
0.59,0,0.888012701892219,0.827942286340599,0.0219872981077807,0.672057713659401
0.6,0,0.883012701892219,0.836602540378444,0.0169872981077807,0.663397459621556
0.61,0,0.878012701892219,0.845262794416288,0.0119872981077807,0.654737205583712
0.62,0,0.873012701892219,0.853923048454133,0.0069872981077807,0.646076951545867
0.63,0,0.868012701892219,0.862583302491977,0.0019872981077807,0.637416697508023
0.35,0.01,0.999352447854375,0.615096189432334,0.150647552145625,0.874903810567666
0.36,0.01,0.994352447854375,0.623756443470179,0.145647552145625,0.866243556529821
0.37,0.01,0.989352447854375,0.632416697508023,0.140647552145625,0.857583302491977
0.38,0.01,0.984352447854375,0.641076951545867,0.135647552145625,0.848923048454133
0.39,0.01,0.979352447854375,0.649737205583712,0.130647552145625,0.840262794416288
0.4,0.01,0.974352447854375,0.658397459621556,0.125647552145625,0.831602540378444
0.41,0.01,0.969352447854375,0.6670577136594,0.120647552145625,0.8229422863406
0.42,0.01,0.964352447854375,0.675717967697245,0.115647552145625,0.814282032302755
0.43,0.01,0.959352447854375,0.684378221735089,0.110647552145625,0.805621778264911
0.44,0.01,0.954352447854375,0.693038475772934,0.105647552145625,0.796961524227066
0.45,0.01,0.949352447854375,0.701698729810778,0.100647552145625,0.788301270189222
0.46,0.01,0.944352447854375,0.710358983848623,0.095647552145625,0.779641016151378
0.47,0.01,0.939352447854375,0.719019237886467,0.090647552145625,0.770980762113533
0.48,0.01,0.934352447854375,0.727679491924311,0.0856475521456251,0.762320508075689
0.49,0.01,0.929352447854375,0.736339745962156,0.0806475521456251,0.753660254037844
0.5,0.01,0.924352447854375,0.745,0.0756475521456251,0.745
0.51,0.01,0.919352447854375,0.753660254037844,0.0706475521456251,0.736339745962156
0.52,0.01,0.914352447854375,0.762320508075689,0.0656475521456251,0.727679491924311
0.53,0.01,0.909352447854375,0.770980762113533,0.0606475521456251,0.719019237886467
0.54,0.01,0.904352447854375,0.779641016151378,0.0556475521456251,0.710358983848622
0.55,0.01,0.899352447854375,0.788301270189222,0.0506475521456251,0.701698729810778
0.56,0.01,0.894352447854375,0.796961524227066,0.045647552145625,0.693038475772934
0.57,0.01,0.889352447854375,0.805621778264911,0.040647552145625,0.684378221735089
0.58,0.01,0.884352447854375,0.814282032302755,0.0356475521456251,0.675717967697245
0.59,0.01,0.879352447854375,0.8229422863406,0.0306475521456251,0.6670577136594
0.6,0.01,0.874352447854375,0.831602540378444,0.0256475521456251,0.658397459621556
0.61,0.01,0.869352447854375,0.840262794416288,0.0206475521456251,0.649737205583712
0.62,0.01,0.864352447854375,0.848923048454133,0.0156475521456251,0.641076951545867
0.63,0.01,0.859352447854375,0.857583302491977,0.0106475521456251,0.632416697508023
0.64,0.01,0.854352447854375,0.866243556529821,0.00564755214562507,0.623756443470179
0.65,0.01,0.849352447854375,0.874903810567666,0.000647552145625063,0.615096189432334
0.34,0.02,0.995692193816531,0.60143593539449,0.16430780618347,0.87856406460551
0.35,0.02,0.990692193816531,0.610096189432334,0.15930780618347,0.869903810567666
0.36,0.02,0.985692193816531,0.618756443470179,0.15430780618347,0.861243556529821
0.37,0.02,0.98069219381653,0.627416697508023,0.14930780618347,0.852583302491977
0.38,0.02,0.97569219381653,0.636076951545867,0.14430780618347,0.843923048454133
0.39,0.02,0.97069219381653,0.644737205583712,0.139307806183469,0.835262794416288
0.4,0.02,0.96569219381653,0.653397459621556,0.134307806183469,0.826602540378444
0.41,0.02,0.96069219381653,0.662057713659401,0.129307806183469,0.817942286340599
0.42,0.02,0.95569219381653,0.670717967697245,0.124307806183469,0.809282032302755
0.43,0.02,0.95069219381653,0.679378221735089,0.119307806183469,0.800621778264911
0.44,0.02,0.94569219381653,0.688038475772934,0.114307806183469,0.791961524227066
0.45,0.02,0.94069219381653,0.696698729810778,0.109307806183469,0.783301270189222
0.46,0.02,0.93569219381653,0.705358983848623,0.104307806183469,0.774641016151377
0.47,0.02,0.93069219381653,0.714019237886467,0.0993078061834695,0.765980762113533
0.48,0.02,0.925692193816531,0.722679491924311,0.0943078061834695,0.757320508075689
0.49,0.02,0.92069219381653,0.731339745962156,0.0893078061834695,0.748660254037844
